Date,Name,Year,Letterboxd URI
2020-02-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-02-20,La La Land,2016,https://boxd.it/a5fa
2020-02-20,Avengers: Infinity War,2018,https://boxd.it/9vEe
2020-02-20,Avengers: Endgame,2019,https://boxd.it/9vE4
2020-02-20,Baby Driver,2017,https://boxd.it/bhF2
2020-02-20,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2020-02-20,Logan,2017,https://boxd.it/7Piy
2020-02-20,The Empire Strikes Back,1980,https://boxd.it/27Vw
2020-02-20,Captain America: Civil War,2016,https://boxd.it/89Ja
2020-02-20,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-02-20,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2020-02-20,Little Women,2019,https://boxd.it/aSVk
2020-02-20,The Incredibles,2004,https://boxd.it/1XLm
2020-02-20,The Lego Movie,2014,https://boxd.it/4pDO
2020-02-20,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2020-02-20,Chef,2014,https://boxd.it/6lCG
2020-02-20,Black Panther,2018,https://boxd.it/8MHs
2020-02-20,Thor: Ragnarok,2017,https://boxd.it/8MHi
2020-02-20,Knives Out,2019,https://boxd.it/jWEA
2020-02-20,Deadpool,2016,https://boxd.it/9fOC
2020-02-20,The Avengers,2012,https://boxd.it/1xFW
2020-02-20,Inside Out,2015,https://boxd.it/4KHC
2020-02-20,Coco,2017,https://boxd.it/bYJQ
2020-02-20,Spider-Man: Far From Home,2019,https://boxd.it/fegG
2020-02-20,Booksmart,2019,https://boxd.it/igNS
2020-02-20,Ant-Man,2015,https://boxd.it/3vmW
2020-02-20,Zootopia,2016,https://boxd.it/84xS
2020-02-20,Toy Story 4,2019,https://boxd.it/9ALu
2020-02-20,Big Hero 6,2014,https://boxd.it/5rje
2020-02-20,Back to the Future Part II,1989,https://boxd.it/2aYI
2020-02-20,Hercules,1997,https://boxd.it/1SDW
2020-02-20,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2020-02-20,Mulan,1998,https://boxd.it/1VFw
2020-02-20,The Lego Batman Movie,2017,https://boxd.it/azp0
2020-02-20,Tropic Thunder,2008,https://boxd.it/20WM
2020-02-20,The Goonies,1985,https://boxd.it/1YVC
2020-03-01,Lady Bird,2017,https://boxd.it/dGNE
2020-03-09,Onward,2020,https://boxd.it/io92
2020-04-10,(500) Days of Summer,2009,https://boxd.it/1EmM
2020-05-10,Eighth Grade,2018,https://boxd.it/hDMG
2020-05-13,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG
2020-06-01,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2020-06-14,Middleditch & Schwartz,2020,https://boxd.it/pV28
2020-06-16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2020-06-23,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2020-07-05,Hamilton,2020,https://boxd.it/kmvE
2020-09-27,Bo Burnham: What.,2013,https://boxd.it/7au4
2020-11-23,Enchanted,2007,https://boxd.it/24co
2020-12-14,The Princess and the Frog,2009,https://boxd.it/1WQq
2021-01-04,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-01-10,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2021-03-06,WandaVision,2021,https://boxd.it/sbGW
2021-03-18,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
2021-04-01,"Love, Simon",2018,https://boxd.it/g02s
2021-04-20,Incredibles 2,2018,https://boxd.it/7IPg
2021-05-11,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm
2021-06-04,Little Miss Sunshine,2006,https://boxd.it/29EW
2021-06-20,Luca,2021,https://boxd.it/ipjC
2021-06-25,In the Heights,2021,https://boxd.it/gLhu
2021-07-08,"Monsters, Inc.",2001,https://boxd.it/2a46
2021-07-08,Black Widow,2021,https://boxd.it/hWV8
2021-07-09,Monsters University,2013,https://boxd.it/bQm
2021-07-12,Shiva Baby,2020,https://boxd.it/oIv0
2021-07-20,Moana,2016,https://boxd.it/8tfY
2021-07-22,Moonrise Kingdom,2012,https://boxd.it/2Wng
2021-07-23,Isle of Dogs,2018,https://boxd.it/dZrW
2021-07-27,Toy Story 3,2010,https://boxd.it/1WRe
2021-08-01,The Suicide Squad,2021,https://boxd.it/fw6O
2021-08-05,Easy A,2010,https://boxd.it/17DK
2021-08-11,Finding Nemo,2003,https://boxd.it/72i
2021-08-13,Zola,2020,https://boxd.it/jEWQ
2021-08-15,Free Guy,2021,https://boxd.it/k8dm
2021-08-22,Cars 2,2011,https://boxd.it/H4Y
2021-09-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-09-25,Dug Days,2021,https://boxd.it/wMAE
2021-10-12,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2021-12-19,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-21,West Side Story,2021,https://boxd.it/iwt0
2022-01-04,Licorice Pizza,2021,https://boxd.it/qTKY
2022-01-08,Tangled,2010,https://boxd.it/15gO
2022-01-10,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2022-01-16,Shithouse,2020,https://boxd.it/nCFc
2022-03-07,WALL·E,2008,https://boxd.it/1VEo
2022-03-07,Encanto,2021,https://boxd.it/kPRu
2022-03-07,Palm Springs,2020,https://boxd.it/lCXQ
2022-03-07,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa
2022-03-07,Mean Girls,2004,https://boxd.it/1VNg
2022-03-07,Legally Blonde,2001,https://boxd.it/1ZNa
2022-03-24,Turning Red,2022,https://boxd.it/ipkq
2022-05-26,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-06-21,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2022-12-31,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu
2023-06-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-26,Asteroid City,2023,https://boxd.it/s3ds
2023-08-01,Barbie,2023,https://boxd.it/bCLK
2023-08-29,Theater Camp,2023,https://boxd.it/Bfbm
2023-10-03,Bottoms,2023,https://boxd.it/uGf2
2023-12-02,HOMECOMING: A film by Beyoncé,2019,https://boxd.it/lS2Q
2023-12-03,Renaissance: A Film by Beyoncé,2023,https://boxd.it/IYzi
2023-12-21,Wonka,2023,https://boxd.it/tCQm
2024-02-07,The Holdovers,2023,https://boxd.it/vHza
2024-02-10,Poor Things,2023,https://boxd.it/tNWU
2024-03-02,Dune: Part Two,2024,https://boxd.it/pUfA
2024-05-05,Challengers,2024,https://boxd.it/zld0
2024-07-27,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2024-09-26,Jurassic Park,1993,https://boxd.it/2aA2
2024-10-01,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2024-10-07,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU
2024-10-09,The Batman,2022,https://boxd.it/eDGs
2024-10-13,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q
2024-10-22,The Wild Robot,2024,https://boxd.it/IWFy
2024-10-29,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2024-10-31,Scream,1996,https://boxd.it/24EC
2024-11-07,Anora,2024,https://boxd.it/Egcw
2024-12-13,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-12-20,The Holiday,2006,https://boxd.it/28ye
2025-01-23,Interstellar,2014,https://boxd.it/4VZ8
2025-01-23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-01-23,The Social Network,2010,https://boxd.it/17ue
2025-12-08,Titanic,1997,https://boxd.it/2a2k
2025-12-25,Avatar: Fire and Ash,2025,https://boxd.it/2W7s
2025-12-29,Marty Supreme,2025,https://boxd.it/Off0
2026-03-20,The Red Shoes,1948,https://boxd.it/1EXI
2026-04-24,Empire Records,1995,https://boxd.it/1PY8
2026-05-22,Finding Emily,2026,https://boxd.it/PNes
